reported_sector,suggested_sector,reported_desc,suggested_desc,reported_rate,suggested_rate,rate_delta,direction,n_establishments,total_employees,total_annual_loss,avg_loss_per_establishment
53,53,Real Estate,Real Estate,0.54,0.54,0.00,SAME,46,5630,0.00,0.00
54,52,Professional Services,Finance/Insurance,0.21,0.21,0.00,SAME,16,3722,0.00,0.00
44,44,Retail/Grocery,Retail/Grocery,3.99,3.99,0.00,SAME,713,52445,0.00,0.00
87,23,Unknown,Construction/Carpentry,,11.61,,SAME,18,809,0.00,0.00
83,51,Unknown,Information/Tech,,0.42,,SAME,1,109,0.00,0.00
99,51,Unknown,Information/Tech,,0.42,,SAME,3,391,0.00,0.00
10,49,Unknown,Warehousing,,7.18,,SAME,1,60,0.00,0.00
11,11,Agriculture/Nurseries,Agriculture/Nurseries,5.91,5.91,0.00,SAME,69,6653,0.00,0.00
87,92,Unknown,Public Administration,,0.36,,SAME,6,765,0.00,0.00
90,51,Unknown,Information/Tech,,0.42,,SAME,1,74,0.00,0.00
83,62,Unknown,Healthcare/Physicians,,0.94,,SAME,1,233,0.00,0.00
99,53,Unknown,Real Estate,,0.54,,SAME,2,38,0.00,0.00
52,52,Finance/Insurance,Finance/Insurance,0.21,0.21,0.00,SAME,6,587,0.00,0.00
32,32,Plastics/Chemical Mfg,Plastics/Chemical Mfg,5.24,5.24,0.00,SAME,232,81798,0.00,0.00
59,54,Unknown,Professional Services,,0.21,,SAME,3,35,0.00,0.00
61,61,Education,Education,0.64,0.64,0.00,SAME,35,9023,0.00,0.00
23,23,Construction/Carpentry,Construction/Carpentry,11.61,11.61,0.00,SAME,158,190302,0.00,0.00
62,62,Healthcare/Physicians,Healthcare/Physicians,0.94,0.94,0.00,SAME,1313,1043630,0.00,0.00
26,62,Unknown,Healthcare/Physicians,,0.94,,SAME,1,29,0.00,0.00
25,81,Unknown,Other Services,,1.73,,SAME,1,50,0.00,0.00
27,32,Unknown,Plastics/Chemical Mfg,,5.24,,SAME,1,279,0.00,0.00
63,62,Unknown,Healthcare/Physicians,,0.94,,SAME,1,400,0.00,0.00
63,23,Unknown,Construction/Carpentry,,11.61,,SAME,1,10,0.00,0.00
51,51,Information/Tech,Information/Tech,0.42,0.42,0.00,SAME,138,18397,0.00,0.00
28,54,Unknown,Professional Services,,0.21,,SAME,7,11,0.00,0.00
31,31,Manufacturing/Forging,Manufacturing/Forging,6.31,6.31,0.00,SAME,51,16937,0.00,0.00
46,33,Unknown,Metal/Electronics Mfg,,4.87,,SAME,1,205,0.00,0.00
72,72,Accommodation/Food,Accommodation/Food,2.47,2.47,0.00,SAME,46,10746,0.00,0.00
22,22,Utilities,Utilities,3.14,3.14,0.00,SAME,143,70908,0.00,0.00
80,56,Unknown,Admin/Waste Services,,3.82,,SAME,1,559,0.00,0.00
76,62,Unknown,Healthcare/Physicians,,0.94,,SAME,1,45,0.00,0.00
71,71,Arts/Entertainment,Arts/Entertainment,2.89,2.89,0.00,SAME,44,9591,0.00,0.00
48,48,Transportation/Trucking,Transportation/Trucking,7.88,7.88,0.00,SAME,195,91693,0.00,0.00
49,49,Warehousing,Warehousing,7.18,7.18,0.00,SAME,18,2913,0.00,0.00
94,48,Unknown,Transportation/Trucking,,7.88,,SAME,2,176,0.00,0.00
92,92,Public Administration,Public Administration,0.36,0.36,0.00,SAME,184,63588,0.00,0.00
95,51,Unknown,Information/Tech,,0.42,,SAME,1,1311,0.00,0.00
99,21,Unknown,Mining/Oil & Gas,,4.72,,SAME,4,740,0.00,0.00
99,33,Unknown,Metal/Electronics Mfg,,4.87,,SAME,1,179,0.00,0.00
99,42,Unknown,Wholesale Trade,,4.56,,SAME,81,3257,0.00,0.00
81,81,Other Services,Other Services,1.73,1.73,0.00,SAME,53,6530,0.00,0.00
17,11,Unknown,Agriculture/Nurseries,,5.91,,SAME,1,15,0.00,0.00
17,23,Unknown,Construction/Carpentry,,11.61,,SAME,4,178,0.00,0.00
20,51,Unknown,Information/Tech,,0.42,,SAME,1,100,0.00,0.00
21,21,Mining/Oil & Gas,Mining/Oil & Gas,4.72,4.72,0.00,SAME,51,6706,0.00,0.00
99,62,Unknown,Healthcare/Physicians,,0.94,,SAME,1,22,0.00,0.00
99,81,Unknown,Other Services,,1.73,,SAME,2,445,0.00,0.00
99,92,Unknown,Public Administration,,0.36,,SAME,11,478,0.00,0.00
