ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
910158750,MUTUAL MATERIALS CO,2,2,90,-0.55,-0.6,"2021, 2022, 2023, 2024",WA
910578229,Compass Housing Alliance,2,2,121,-1.4,-1.4,"2022, 2024",WA
912144168,"Holland Construction; Holland Construction, Inc.",2,2,44,-0.1,-0.1,"2022, 2023",CA
920187174,Wild Planet Foods Inc,2,2,3,-0.6,-0.6,"2021, 2022","CA, PA"
930177750,Collins; Collins Companies,2,2,122,-1.5,-2.5,"2022, 2023","OR, PA"
930386780,ALBERTINA KERR CENTERS,2,2,57,-1.9,-1.9,"2021, 2023",OR
930496342,Jeld-Wen Inc.,2,2,255,-1.2,-1.6,"2021, 2022, 2023","CA, TX"
930579722,Salem Health,2,2,484,-1.7,-1.7,"2022, 2023",OR
930584541,Nike IHM,2,2,1995,-0.3,-0.3,"2022, 2023","MO, OR"
931069451,Signature Aviation EPIC 882; Signature Aviation EPIC 889,2,2,69,-1.4,-1.4,"2023, 2024","OR, TX"
936002176,City of Gresham,2,2,173,-1.5,-1.5,"2022, 2023",OR
936002231,City of Lake Oswego,2,2,20,-0.15,-0.2,"2021, 2022, 2023",OR
936002292,Deschutes County,2,2,147,-0.85,-1.4,"2022, 2023",OR
946000374,City of Modesto,2,2,206,-1.35,-2.6,"2023, 2024",CA
946000454,Tulare County,2,2,174,-2.75,-4.1,"2022, 2023",CA
952475388,Washington Iron Works; Washington Ornamental Iron Works231,2,2,400,-0.65,-0.8,"2021, 2022, 2023, 2024",CA
954851977,"Endress+Hauser Optical Analysis, Inc.",2,2,114,-0.2,-0.2,"2022, 2023","CA, TX"
222408251,Omega Plastics Corp.; Omega Plastics Corporation,2,1,289,-0.55,-0.6,"2022, 2023, 2024",NJ
942815875,Berco Redwood Incorporated,2,1,267,-0.35,-0.4,"2021, 2022, 2023",CA
